day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;2800;PEARLS;9998;5;9995;29;;;10005;29;;;;;10001.5;30.0
-1;2800;BANANAS;4952;1;4947;5;4946;29;4953;29;;;;;4952.5;48.445312
-1;2900;BANANAS;4946;25;;;;;4953;25;;;;;4949.5;52.023438
-1;2900;PEARLS;10002;10;9996;2;9995;23;10004;2;10005;23;;;10003.0;30.0
-1;3000;BANANAS;4946;31;;;;;4953;31;;;;;4949.5;51.15625
-1;3000;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;30.0
-1;3100;BANANAS;4947;27;;;;;4953;2;4954;26;;;4950.0;38.375
-1;3100;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;30.0
-1;3200;PEARLS;9996;2;9995;30;;;10002;6;10004;2;10005;30;9999.0;30.0
-1;3200;BANANAS;4947;2;4946;30;;;4951;6;4953;32;;;4949.0;43.210938
-1;3300;BANANAS;4946;28;;;;;4953;28;;;;;4949.5;54.234375
-1;3300;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;30.0
-1;3400;BANANAS;4946;29;;;;;4953;29;;;;;4949.5;51.257812
-1;3400;PEARLS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;74.0
-1;3500;BANANAS;4946;30;;;;;4951;9;4953;30;;;4948.5;47.53125
-1;3500;PEARLS;9996;2;9995;28;;;10002;9;10004;2;10005;28;9999.0;74.0
-1;3600;PEARLS;9995;21;;;;;9998;1;10005;21;;;9996.5;74.0
-1;3600;BANANAS;4947;21;;;;;4954;21;;;;;4950.5;35.25
-1;3700;BANANAS;4947;31;;;;;4952;6;4953;2;4954;29;4949.5;35.34375
-1;3700;PEARLS;9996;2;9995;29;;;10000;5;10002;7;10004;2;9998.0;74.0
-1;3800;BANANAS;4947;30;;;;;4953;1;4954;29;;;4950.0;36.125
-1;3800;PEARLS;10002;1;9996;1;9995;29;10004;1;10005;29;;;10003.0;74.0
-1;3900;BANANAS;4948;1;4947;25;;;4954;25;;;;;4951.0;38.5
-1;3900;PEARLS;9998;1;9995;25;;;10005;25;;;;;10001.5;74.0
-1;4000;PEARLS;10002;9;9996;2;9995;27;10004;2;10005;27;;;10003.0;74.0
-1;4000;BANANAS;4947;29;;;;;4953;2;4954;27;;;4950.0;39.023438
-1;4100;BANANAS;4946;24;;;;;4953;24;;;;;4949.5;46.085938
-1;4100;PEARLS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;74.0
-1;4200;BANANAS;4946;28;;;;;4947;12;4953;28;;;4946.5;46.390625
-1;4200;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;74.0
-1;4300;BANANAS;4946;31;;;;;4952;2;4953;29;;;4949.0;56.25
-1;4300;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;74.0
-1;4400;PEARLS;9996;1;9995;26;;;9998;1;10004;1;10005;26;9997.0;90.0
-1;4400;BANANAS;4946;26;;;;;4953;27;;;;;4949.5;54.84375
-1;4500;BANANAS;4946;27;;;;;4953;27;;;;;4949.5;55.46875
-1;4500;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;90.0
-1;4600;BANANAS;4946;22;;;;;4953;22;;;;;4949.5;53.21875
-1;4600;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;90.0
-1;4700;BANANAS;4946;27;;;;;4947;8;4952;1;4953;26;4946.5;58.21875
-1;4700;PEARLS;9998;4;9996;1;9995;26;10004;1;10005;26;;;10001.0;90.0
-1;4800;PEARLS;10002;3;9996;1;9995;24;10004;1;10005;24;;;10003.0;90.0
-1;4800;BANANAS;4951;1;4946;25;;;4952;1;4953;24;;;4951.5;58.390625
-1;4900;BANANAS;4946;22;;;;;4952;22;;;;;4949.0;62.71875
-1;4900;PEARLS;9995;22;;;;;9998;4;10005;22;;;9996.5;90.0
-1;5000;BANANAS;4947;4;4946;22;;;4953;23;;;;;4950.0;49.148438
-1;5000;PEARLS;9998;3;9996;1;9995;22;10004;1;10005;22;;;10001.0;90.0
-1;5100;BANANAS;4947;9;4946;25;;;4948;2;4953;25;;;4947.5;44.96875
-1;5100;PEARLS;10002;1;9998;9;9995;25;10005;25;;;;;10003.5;90.0
-1;5200;PEARLS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;90.0
-1;5200;BANANAS;4947;2;4946;22;;;4953;24;;;;;4950.0;46.8125
-1;5300;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;90.0
-1;5300;BANANAS;4947;25;;;;;4954;25;;;;;4950.5;42.820312
-1;5400;BANANAS;4947;27;;;;;4952;8;4954;27;;;4949.5;37.820312
-1;5400;PEARLS;9995;27;;;;;10000;6;10002;8;10005;27;9997.5;90.0
-1;5500;BANANAS;4947;30;;;;;4954;30;;;;;4950.5;36.773438
-1;5500;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;90.0
-1;5600;BANANAS;4947;9;4946;26;;;4953;27;;;;;4950.0;46.109375
-1;5600;PEARLS;10002;1;9998;8;9996;1;10004;1;10005;26;;;10003.0;90.0
-1;5700;PEARLS;9998;4;9996;2;9995;23;10004;2;10005;23;;;10001.0;90.0
-1;5700;BANANAS;4950;2;4948;4;4947;25;4954;25;;;;;4952.0;32.3125
-1;5800;PEARLS;10002;1;9998;10;9995;24;10005;24;;;;;10003.5;90.0
-1;5800;BANANAS;4953;1;4948;10;4947;24;4954;24;;;;;4953.5;32.71875
-1;5900;BANANAS;4947;21;;;;;4954;21;;;;;4950.5;35.703125
-1;5900;PEARLS;10000;5;9996;1;9995;20;10004;1;10005;20;;;10002.0;90.0
-1;6000;PEARLS;9996;2;9995;22;;;9998;4;10004;2;10005;22;9997.0;90.0
-1;6000;BANANAS;4947;24;;;;;4953;2;4954;22;;;4950.0;39.03125
-1;6100;PEARLS;9996;1;9995;24;;;10000;5;10002;2;10004;1;9998.0;90.0
-1;6100;BANANAS;4947;25;;;;;4952;2;4954;25;;;4949.5;33.101562
-1;6200;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;90.0
-1;6200;BANANAS;4947;30;;;;;4948;13;4954;30;;;4947.5;35.625
-1;6300;BANANAS;4947;25;;;;;4948;1;4954;25;;;4947.5;31.539062
-1;6300;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;90.0
-1;6400;PEARLS;10000;4;9995;23;;;10005;23;;;;;10002.5;90.0
-1;6400;BANANAS;4947;23;;;;;4954;23;;;;;4950.5;29.570312
-1;6500;PEARLS;9995;20;;;;;10005;20;;;;;10000.0;90.0
-1;6500;BANANAS;4947;20;;;;;4954;20;;;;;4950.5;25.78125
-1;6600;PEARLS;9996;1;9995;26;;;10004;1;10005;26;;;10000.0;90.0
-1;6600;BANANAS;4948;27;;;;;4955;27;;;;;4951.5;18.09375
-1;6700;BANANAS;4948;28;;;;;4954;2;4955;26;;;4951.0;26.21875
-1;6700;PEARLS;10002;4;9996;2;9995;26;10004;2;10005;26;;;10003.0;90.0
-1;6800;BANANAS;4948;1;4947;24;;;4954;24;;;;;4951.0;39.476562
-1;6800;PEARLS;9998;1;9996;1;9995;23;10004;1;10005;23;;;10001.0;90.0
-1;6900;PEARLS;9995;28;;;;;10005;28;;;;;10000.0;110.0
-1;6900;BANANAS;4952;1;4951;4;4947;28;4954;28;;;;;4953.0;47.765625
-1;7000;PEARLS;10000;6;9998;7;9996;2;10004;2;10005;27;;;10002.0;110.0
-1;7000;BANANAS;4948;7;4947;29;;;4954;29;;;;;4951.0;46.5
-1;7100;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;110.0
-1;7100;BANANAS;4947;30;;;;;4954;30;;;;;4950.5;43.234375
-1;7200;BANANAS;4947;23;;;;;4954;23;;;;;4950.5;40.078125
-1;7200;PEARLS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;110.0
-1;7300;PEARLS;9996;2;9995;23;;;10002;4;10004;2;10005;23;9999.0;114.0
-1;7300;BANANAS;4947;25;;;;;4952;4;4954;25;;;4949.5;50.953125
-1;7400;PEARLS;10002;1;9996;2;9995;28;10004;2;10005;28;;;10003.0;114.0
-1;7400;BANANAS;4947;30;;;;;4953;2;4954;28;;;4950.0;54.234375
-1;7500;PEARLS;9995;29;;;;;10005;29;;;;;10000.0;114.0
-1;7500;BANANAS;4947;29;;;;;4953;29;;;;;4950.0;56.59375
-1;7600;BANANAS;4946;26;;;;;4953;26;;;;;4949.5;68.671875
-1;7600;PEARLS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;114.0
-1;7700;PEARLS;9995;28;;;;;10005;28;;;;;10000.0;114.0
-1;7700;BANANAS;4951;1;4945;28;;;4952;28;;;;;4951.5;86.984375
-1;7800;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;119.0
-1;7800;BANANAS;4951;1;4946;23;;;4952;1;4953;22;;;4951.5;78.16406
-1;7900;PEARLS;9996;1;9995;25;;;10002;4;10004;1;10005;25;9999.0;119.0
-1;7900;BANANAS;4946;1;4945;25;;;4950;4;4952;26;;;4948.0;86.5
-1;8000;BANANAS;4945;23;;;;;4952;23;;;;;4948.5;87.390625
-1;8000;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;119.0
-1;8100;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;119.0
-1;8100;BANANAS;4945;22;;;;;4952;22;;;;;4948.5;92.1875
-1;8200;PEARLS;9995;20;;;;;9998;1;10002;2;10005;20;9996.5;119.0
-1;8200;BANANAS;4949;2;4945;20;;;4950;2;4952;20;;;4949.5;92.99219
-1;8300;PEARLS;10002;1;9998;6;9996;1;10004;1;10005;26;;;10003.0;119.0
-1;8300;BANANAS;4946;6;4945;27;;;4952;27;;;;;4949.0;94.25781
-1;8400;BANANAS;4945;26;;;;;4951;26;;;;;4948.0;99.35156
-1;8400;PEARLS;9995;26;;;;;10005;26;;;;;10000.0;119.0
-1;8500;PEARLS;9995;30;;;;;10005;30;;;;;10000.0;119.0
-1;8500;BANANAS;4947;5;4944;30;;;4951;30;;;;;4949.0;108.58594
-1;8600;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;119.0
-1;8600;BANANAS;4944;23;;;;;4951;23;;;;;4947.5;110.44531
-1;8700;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;119.0
-1;8700;BANANAS;4945;30;;;;;4946;1;4952;30;;;4945.5;92.765625
-1;8800;BANANAS;4945;23;;;;;4947;4;4952;23;;;4946.0;88.671875
-1;8800;PEARLS;9995;23;;;;;9998;12;10005;23;;;9996.5;119.0
-1;8900;PEARLS;10002;5;9996;1;9995;26;10004;1;10005;26;;;10003.0;119.0
-1;8900;BANANAS;4945;27;;;;;4952;27;;;;;4948.5;92.91406
-1;9000;PEARLS;9995;23;;;;;10002;7;10005;23;;;9998.5;119.0
-1;9000;BANANAS;4945;23;;;;;4950;7;4952;23;;;4947.5;87.890625
-1;9100;PEARLS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;119.0
-1;9100;BANANAS;4946;31;;;;;4949;3;4952;1;4953;30;4947.5;79.421875
-1;9200;BANANAS;4945;24;;;;;4950;3;4952;24;;;4947.5;85.42969
-1;9200;PEARLS;9995;24;;;;;10002;3;10005;24;;;9998.5;119.0
-1;9300;PEARLS;9995;23;;;;;10005;23;;;;;10000.0;119.0
-1;9300;BANANAS;4945;23;;;;;4952;23;;;;;4948.5;85.90625
-1;9400;PEARLS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;119.0
-1;9400;BANANAS;4946;24;;;;;4952;24;;;;;4949.0;82.296875
-1;9500;PEARLS;9998;9;9996;1;9995;28;10004;1;10005;28;;;10001.0;119.0
-1;9500;BANANAS;4946;10;4945;28;;;4952;29;;;;;4949.0;84.03125
-1;9600;BANANAS;4945;20;;;;;4946;1;4952;20;;;4945.5;87.015625
-1;9600;PEARLS;9995;20;;;;;10005;20;;;;;10000.0;119.0
-1;9700;PEARLS;9998;3;9995;25;;;10005;25;;;;;10001.5;119.0
-1;9700;BANANAS;4946;3;4945;25;;;4952;25;;;;;4949.0;82.63281
-1;9800;PEARLS;9995;21;;;;;10002;5;10005;21;;;9998.5;119.0
-1;9800;BANANAS;4945;21;;;;;4950;5;4952;21;;;4947.5;83.71094
-1;9900;BANANAS;4945;22;;;;;4952;22;;;;;4948.5;85.921875
-1;9900;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;119.0
-1;10000;BANANAS;4946;8;4945;31;;;4952;31;;;;;4949.0;88.375
-1;10000;PEARLS;9998;8;9996;2;9995;29;10004;2;10005;29;;;10001.0;119.0
-1;10100;BANANAS;4945;22;;;;;4952;22;;;;;4948.5;86.03125
-1;10100;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;119.0
-1;10200;PEARLS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;119.0
-1;10200;BANANAS;4946;25;;;;;4952;2;4953;23;;;4949.0;80.25781
-1;10300;PEARLS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;119.0
-1;10300;BANANAS;4946;2;4945;20;;;4947;4;4952;22;;;4946.5;83.46875
-1;10400;BANANAS;4946;30;;;;;4953;30;;;;;4949.5;75.109375
-1;10400;PEARLS;9995;30;;;;;10005;30;;;;;10000.0;127.0
-1;10500;PEARLS;9998;4;9996;1;9995;27;10004;1;10005;27;;;10001.0;127.0
-1;10500;BANANAS;4946;4;4945;28;;;4952;28;;;;;4949.0;93.015625
-1;10600;PEARLS;9995;23;;;;;9998;2;10002;6;10005;23;9996.5;127.0
-1;10600;BANANAS;4945;23;;;;;4950;6;4952;23;;;4947.5;92.640625
-1;10700;PEARLS;9998;1;9995;23;;;10005;23;;;;;10001.5;127.0
-1;10700;BANANAS;4946;1;4945;23;;;4952;23;;;;;4949.0;88.1875
-1;10800;BANANAS;4947;3;4946;23;;;4953;23;;;;;4950.0;75.80469
-1;10800;PEARLS;10002;1;9998;4;9995;23;10005;23;;;;;10003.5;127.0
-1;10900;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;127.0
-1;10900;BANANAS;4947;1;4946;29;;;4953;30;;;;;4950.0;66.21875
-1;11000;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;127.0
-1;11000;BANANAS;4946;30;;;;;4952;1;4953;29;;;4949.0;78.25
-1;11100;PEARLS;9996;2;9995;29;;;10002;4;10004;2;10005;29;9999.0;127.0
-1;11100;BANANAS;4946;31;;;;;4951;4;4952;2;4953;29;4948.5;79.265625
-1;11200;BANANAS;4946;29;;;;;4952;1;4953;28;;;4949.0;78.703125
-1;11200;PEARLS;10002;1;9996;1;9995;28;10004;1;10005;28;;;10003.0;155.0
-1;11300;BANANAS;4950;1;4945;27;;;4952;27;;;;;4951.0;87.75781
-1;11300;PEARLS;9996;1;9995;26;;;10004;1;10005;26;;;10000.0;155.0
-1;11400;PEARLS;9998;2;9996;1;9995;23;10004;1;10005;23;;;10001.0;155.0
-1;11400;BANANAS;4946;3;4945;24;;;4951;1;4952;23;;;4948.5;96.66406
-1;11500;BANANAS;4945;2;4944;28;;;4951;29;;;;;4948.0;102.328125
-1;11500;PEARLS;9998;1;9996;1;9995;28;10004;1;10005;28;;;10001.0;155.0
-1;11600;BANANAS;4944;26;;;;;4951;26;;;;;4947.5;106.69531
-1;11600;PEARLS;9995;26;;;;;10005;26;;;;;10000.0;155.0
-1;11700;BANANAS;4944;22;;;;;4951;22;;;;;4947.5;104.00781
-1;11700;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;155.0
-1;11800;PEARLS;9995;21;;;;;10005;21;;;;;10000.0;155.0
-1;11800;BANANAS;4944;21;;;;;4951;21;;;;;4947.5;103.15625
-1;11900;BANANAS;4944;25;;;;;4951;25;;;;;4947.5;114.15625
-1;11900;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;155.0
-1;12000;BANANAS;4943;25;;;;;4950;25;;;;;4946.5;119.90625
-1;12000;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;155.0
-1;12100;BANANAS;4943;22;;;;;4948;4;4949;2;4950;20;4945.5;131.70312
-1;12100;PEARLS;9996;2;9995;20;;;10002;3;10004;2;10005;20;9999.0;155.0
-1;12200;PEARLS;9998;10;9996;2;9995;26;10004;2;10005;26;;;10001.0;155.0
-1;12200;BANANAS;4944;10;4943;28;;;4950;28;;;;;4947.0;123.03125
-1;12300;BANANAS;4943;24;;;;;4950;24;;;;;4946.5;126.53125
-1;12300;PEARLS;9996;1;9995;23;;;10000;5;10004;1;10005;23;9998.0;155.0
-1;12400;BANANAS;4943;30;;;;;4949;1;4950;29;;;4946.0;128.96094
-1;12400;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;155.0
-1;12500;BANANAS;4943;31;;;;;4949;2;4950;29;;;4946.0;128.89844
-1;12500;PEARLS;10002;5;9996;2;9995;29;10004;2;10005;29;;;10003.0;155.0
-1;12600;PEARLS;9998;5;9996;1;9995;30;10004;1;10005;30;;;10001.0;155.0
-1;12600;BANANAS;4944;5;4943;31;;;4949;31;;;;;4946.5;132.55469
-1;12700;BANANAS;4943;31;;;;;4950;31;;;;;4946.5;124.09375
-1;12700;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;155.0
-1;12800;BANANAS;4943;31;;;;;4948;3;4950;31;;;4945.5;121.35156
-1;12800;PEARLS;9996;1;9995;30;;;10002;3;10004;1;10005;30;9999.0;155.0
-1;12900;BANANAS;4944;24;;;;;4950;24;;;;;4947.0;116.140625
-1;12900;PEARLS;9995;24;;;;;10005;24;;;;;10000.0;155.0
-1;13000;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;155.0
-1;13000;BANANAS;4943;27;;;;;4950;27;;;;;4946.5;117.984375
-1;13100;BANANAS;4944;30;;;;;4950;2;4951;28;;;4947.0;114.25781
-1;13100;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;155.0
-1;13200;BANANAS;4943;28;;;;;4950;28;;;;;4946.5;119.10156
-1;13200;PEARLS;9995;28;;;;;10005;28;;;;;10000.0;155.0
-1;13300;BANANAS;4949;1;4944;28;;;4950;2;4951;26;;;4949.5;114.71094
-1;13300;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;155.0
-1;13400;PEARLS;10002;1;9996;1;9995;25;10004;1;10005;25;;;10003.0;155.0
-1;13400;BANANAS;4944;26;;;;;4950;1;4951;25;;;4947.0;113.75781
-1;13500;BANANAS;4947;4;4944;30;;;4949;9;4951;30;;;4948.0;107.546875
-1;13500;PEARLS;9996;1;9995;29;;;10002;9;10004;1;10005;29;9999.0;155.0
-1;13600;BANANAS;4944;25;;;;;4950;2;4951;23;;;4947.0;111.74219
-1;13600;PEARLS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;155.0
-1;13700;BANANAS;4947;5;4944;30;;;4949;7;4951;30;;;4948.0;110.9375
-1;13700;PEARLS;10000;2;9996;2;9995;28;10002;7;10004;2;10005;28;10001.0;155.0
-1;13800;PEARLS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;155.0
-1;13800;BANANAS;4943;25;;;;;4950;25;;;;;4946.5;127.34375
-1;13900;BANANAS;4942;20;;;;;4947;2;4949;20;;;4944.5;137.21094
-1;13900;PEARLS;9995;20;;;;;10002;2;10005;20;;;9998.5;155.0
-1;14000;BANANAS;4948;1;4943;1;4942;26;4949;27;;;;;4948.5;137.0625
-1;14000;PEARLS;9996;1;9995;26;;;10004;1;10005;26;;;10000.0;155.0
-1;14100;BANANAS;4942;24;;;;;4949;24;;;;;4945.5;143.74219
-1;14100;PEARLS;10000;3;9996;2;9995;22;10004;2;10005;22;;;10002.0;159.0
-1;14200;BANANAS;4942;24;;;;;4949;24;;;;;4945.5;144.80469
-1;14200;PEARLS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;159.0
-1;14300;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;159.0
-1;14300;BANANAS;4943;30;;;;;4949;2;4950;28;;;4946.0;132.42188
-1;14400;BANANAS;4943;9;4942;23;;;4949;23;;;;;4946.0;138.03125
-1;14400;PEARLS;9998;9;9996;1;9995;22;10004;1;10005;22;;;10001.0;159.0
-1;14500;BANANAS;4943;22;;;;;4949;1;4950;22;;;4946.0;131.85938
-1;14500;PEARLS;9996;1;9995;22;;;10000;2;10004;1;10005;22;9998.0;159.0
-1;14600;PEARLS;9995;21;;;;;10002;3;10005;21;;;9998.5;159.0
-1;14600;BANANAS;4942;21;;;;;4947;3;4949;21;;;4944.5;137.26562
-1;14700;PEARLS;9998;5;9996;2;9995;24;10004;2;10005;24;;;10001.0;159.0
-1;14700;BANANAS;4943;7;4942;24;;;4949;26;;;;;4946.0;137.75781
-1;14800;PEARLS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;159.0
-1;14800;BANANAS;4943;1;4942;21;;;4949;23;;;;;4946.0;134.96094
-1;14900;BANANAS;4943;2;4942;28;;;4947;8;4949;30;;;4945.0;137.16406
-1;14900;PEARLS;9996;2;9995;28;;;10002;8;10004;2;10005;28;9999.0;159.0
-1;15000;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;159.0
-1;15000;BANANAS;4942;23;;;;;4943;1;4949;23;;;4942.5;141.03125
-1;15100;PEARLS;10002;1;9996;1;9995;25;10004;1;10005;25;;;10003.0;159.0
-1;15100;BANANAS;4948;1;4943;1;4942;25;4949;26;;;;;4948.5;134.98438
-1;15200;PEARLS;9998;3;9996;2;9995;23;10000;4;10004;2;10005;23;9999.0;159.0
-1;15200;BANANAS;4946;3;4944;3;4943;25;4950;25;;;;;4948.0;126.359375
-1;15300;BANANAS;4943;5;4942;22;;;4949;24;;;;;4946.0;135.22656
-1;15300;PEARLS;9998;3;9996;2;9995;22;10004;2;10005;22;;;10001.0;159.0
-1;15400;PEARLS;9996;2;9995;24;;;10002;4;10004;2;10005;24;9999.0;159.0
-1;15400;BANANAS;4942;26;;;;;4947;4;4949;26;;;4944.5;139.02344
-1;15500;PEARLS;9998;5;9995;20;;;10005;20;;;;;10001.5;159.0
-1;15500;BANANAS;4948;1;4943;5;4942;20;4949;20;;;;;4948.5;136.45312
-1;15600;PEARLS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;159.0
-1;15600;BANANAS;4943;24;;;;;4950;24;;;;;4946.5;126.703125
-1;15700;PEARLS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;159.0
